"method","complete_run_count","incomplete_run_count","complete_runs","incomplete_runs"
"final_only","1","3","TCFormer_bcic2a_seed-0_aug-True_GPU0_20260508_163407","TCFormer_bcic2a_seed-0_aug-True_GPU0_20260508_163327 | TCFormer_bcic2a_seed-0_aug-True_GPU0_20260510_115435 | TCFormer_bcic2a_seed-0_aug-True_GPU0_20260510_124111"
"multi_exit_dynamic_weight","1","0","TCFormer_bcic2a_seed-0_aug-True_GPU0_20260508_230216",""
"multi_exit_fixed_weight","1","0","TCFormer_bcic2a_seed-0_aug-True_GPU0_20260509_085744",""
"multi_exit_self_distill_fixed_average","1","0","TCFormer_bcic2a_seed-0_aug-True_GPU0_20260509_180305",""
"shallow_final","1","4","TCFormer_bcic2a_seed-0_aug-True_GPU0_20260510_182057","TCFormer_bcic2a_seed-0_aug-True_GPU0_20260510_123746 | TCFormer_bcic2a_seed-0_aug-True_GPU0_20260510_123833 | TCFormer_bcic2a_seed-0_aug-True_GPU0_20260510_124050 | TCFormer_bcic2a_seed-0_aug-True_GPU0_20260510_172548"
"shallow_mid_deep_final","0","1","","TCFormer_bcic2a_seed-0_aug-True_GPU0_20260511_085708"
"shallow_mid_final","1","0","TCFormer_bcic2a_seed-0_aug-True_GPU0_20260511_030021",""
"teacher_final_supervise_shallow","1","0","TCFormer_bcic2a_seed-0_aug-True_GPU0_20260511_151406",""
"teacher_mid_deep_only","1","2","TCFormer_bcic2a_seed-0_aug-True_GPU0_20260512_124906","TCFormer_bcic2a_seed-0_aug-True_GPU0_20260512_080145 | TCFormer_bcic2a_seed-0_aug-True_GPU0_20260512_080216"
"teacher_no_supervise_shallow","1","0","TCFormer_bcic2a_seed-0_aug-True_GPU0_20260511_212359",""
