dataset,seed,subject,exit,n_trials,accuracy_pct,kappa,ece_15,nll,brier_sum,mean_confidence
bcic2a,0,1,shallow,288,88.88888888888889,0.8518518518518519,0.051658677952725066,0.3549497381001684,0.19170575717734337,0.8399787152398167
bcic2a,0,1,mid,288,92.70833333333334,0.9027777777777778,0.0378844103751999,0.29647328062289996,0.13368248037397734,0.937344896848955
bcic2a,0,1,deep,288,92.01388888888889,0.8935185185185185,0.03105203959022068,0.29587727941361125,0.1359812079026147,0.9385521550420093
bcic2a,0,1,final,288,91.31944444444444,0.8842592592592593,0.03810405633343725,0.27953673997694367,0.13347926685433759,0.9503276866689335
bcic2a,0,1,ensemble,288,93.05555555555556,0.9074074074074074,0.04052227686859832,0.27708668847010026,0.1279832837462066,0.9374408840620205
bcic2a,0,2,shallow,288,69.09722222222221,0.587962962962963,0.08012807165170452,0.9264648135845786,0.46046331571360444,0.7524666788647117
bcic2a,0,2,mid,288,69.79166666666666,0.5972222222222222,0.18685365206553167,1.0465700445729442,0.4917947838220488,0.8838722935879608
bcic2a,0,2,deep,288,71.18055555555556,0.6157407407407407,0.18091768717377868,1.0450529519070073,0.48310046591382894,0.8813654557330294
bcic2a,0,2,final,288,68.75,0.5833333333333333,0.19970264046402197,1.0631815533977584,0.4993296328379848,0.8872026404640219
bcic2a,0,2,ensemble,288,70.13888888888889,0.6018518518518519,0.18808801774182188,1.0057107077986078,0.48261080118127453,0.8765101875224196
bcic2a,0,3,shallow,288,95.13888888888889,0.9351851851851852,0.06679507334695413,0.17557631497291087,0.07571803473726677,0.897305523454413
bcic2a,0,3,mid,288,96.875,0.9583333333333334,0.035462816435486544,0.11321346802795279,0.0457269051931861,0.9539411685702149
bcic2a,0,3,deep,288,96.52777777777779,0.9537037037037037,0.042094140123646956,0.10841886817823095,0.043581562593058454,0.9531252916739155
bcic2a,0,3,final,288,97.22222222222221,0.962962962962963,0.03316636805152334,0.11223041795156401,0.04430126401212123,0.9621698314179888
bcic2a,0,3,ensemble,288,97.56944444444444,0.9675925925925926,0.0406557219052343,0.10669319316167344,0.041689909835203875,0.9521058325670005
bcic2a,0,4,shallow,288,85.41666666666666,0.8055555555555556,0.06660927738595726,0.41095253116837477,0.22222092236715513,0.8128567658030941
bcic2a,0,4,mid,288,88.54166666666666,0.8472222222222222,0.047024702800977355,0.4063630413244785,0.19259930392254349,0.9273635031030462
bcic2a,0,4,deep,288,89.23611111111111,0.8564814814814815,0.05604662177131001,0.4008313490407302,0.18773119771508548,0.9305181253782533
bcic2a,0,4,final,288,88.88888888888889,0.8518518518518519,0.05081170053566919,0.38617970050826067,0.18050833432982458,0.9375783265705321
bcic2a,0,4,ensemble,288,89.23611111111111,0.8564814814814815,0.045495676478804925,0.38118746734405073,0.18232712596799283,0.9269731652723535
bcic2a,0,5,shallow,288,75.34722222222221,0.6712962962962963,0.07687221902901385,0.648071887558892,0.34724465317409786,0.8279144995979567
bcic2a,0,5,mid,288,81.59722222222221,0.7546296296296297,0.1251298688256932,0.6980955065382494,0.32718047009537377,0.9250799747199987
bcic2a,0,5,deep,288,80.55555555555556,0.7407407407407407,0.12155474132858862,0.6981971706692531,0.3270341310239173,0.9251285455637661
bcic2a,0,5,final,288,81.25,0.75,0.1189757798786932,0.6709593642129101,0.31667998807133635,0.9278416961449779
bcic2a,0,5,ensemble,288,81.25,0.75,0.12082234930386634,0.6647046747277454,0.3192754085766482,0.9193578963663265
bcic2a,0,6,shallow,288,71.52777777777779,0.6203703703703703,0.10880421026131376,0.8284600957212113,0.42778630226960845,0.7831960268255593
bcic2a,0,6,mid,288,72.56944444444444,0.6342592592592593,0.1805675074399799,0.9541389943487262,0.46059369291083424,0.8919111321053141
bcic2a,0,6,deep,288,72.56944444444444,0.6342592592592593,0.18996668050585178,0.9749552983173805,0.47003549045471715,0.8943448151754821
bcic2a,0,6,final,288,70.48611111111111,0.6064814814814814,0.19435453191926982,0.9733300113538892,0.4744324919382341,0.899215643030381
bcic2a,0,6,ensemble,288,73.61111111111111,0.6481481481481481,0.17333165587879829,0.932765278781563,0.4574130299214695,0.8864893605953075
bcic2a,0,7,shallow,288,87.15277777777779,0.8287037037037037,0.05470520984343716,0.32256174590575,0.1680795440717548,0.8510318272547597
bcic2a,0,7,mid,288,93.75,0.9166666666666666,0.02352711539147568,0.24432290408670887,0.10383749413531869,0.9415495943577654
bcic2a,0,7,deep,288,94.09722222222221,0.9212962962962963,0.021961343271506062,0.2473916567828941,0.1060048865093828,0.9397423524682103
bcic2a,0,7,final,288,93.75,0.9166666666666666,0.023849386886595533,0.24646733771386803,0.10901218388669359,0.9480093731824455
bcic2a,0,7,ensemble,288,95.13888888888889,0.9351851851851852,0.025204932431235394,0.23926409159860473,0.10444853189084181,0.9358490235198941
bcic2a,0,8,shallow,288,87.15277777777779,0.8287037037037037,0.05642504102095519,0.38158964126249806,0.19554487214413518,0.8289102042022931
bcic2a,0,8,mid,288,91.66666666666666,0.8888888888888888,0.04613551649370345,0.31363736851118645,0.1473081761847744,0.9358489327483723
bcic2a,0,8,deep,288,91.66666666666666,0.8888888888888888,0.051027661169313766,0.31267632824174807,0.14689002179657298,0.9368597056026869
bcic2a,0,8,final,288,91.31944444444444,0.8842592592592593,0.038737953739351794,0.32310280828208643,0.1488152339201323,0.9367289189379682
bcic2a,0,8,ensemble,288,92.01388888888889,0.8935185185185185,0.040106382331830184,0.3036573840248768,0.14449204623511744,0.9331676181500392
bcic2a,0,9,shallow,288,87.5,0.8333333333333334,0.029701596865218775,0.3803878214457527,0.19620156506127706,0.8612345301806279
bcic2a,0,9,mid,288,89.93055555555556,0.8657407407407407,0.03954639465557661,0.3305070433822554,0.1587841559768845,0.9285230661254678
bcic2a,0,9,deep,288,91.31944444444444,0.8842592592592593,0.04430681610479847,0.3279852086417388,0.15161977518065362,0.9337409801849526
bcic2a,0,9,final,288,90.97222222222221,0.8796296296296297,0.04222294319949308,0.3339627702440977,0.15127025140933156,0.9421097684676865
bcic2a,0,9,ensemble,288,91.31944444444444,0.8842592592592593,0.027761309753999323,0.31594503918107525,0.14844315026740038,0.9295464533956221
bcic2b,0,1,shallow,320,78.125,0.5625,0.07950093607426523,0.4996740071402419,0.30439881567739235,0.8567140601313984
bcic2b,0,1,mid,320,81.5625,0.63125,0.12225003225529653,0.5501468848708442,0.31246752529504673,0.9210030544882605
bcic2b,0,1,deep,320,80.3125,0.60625,0.1269946782165808,0.5751743280351486,0.328771534128992,0.921250384507893
bcic2b,0,1,final,320,81.5625,0.63125,0.12159008302801178,0.5572063871830711,0.31487264191271,0.9331861063117721
bcic2b,0,1,ensemble,320,82.1875,0.64375,0.139229941198659,0.5425185753136382,0.31317297781446346,0.9183444446208281
bcic2b,0,2,shallow,280,74.28571428571429,0.48571428571428577,0.06210816258986421,0.5631418286942005,0.3680350813843123,0.7519814795173729
bcic2b,0,2,mid,280,72.85714285714285,0.4571428571428572,0.11986060847618493,0.6029743785713239,0.39626476902530516,0.8320415983246002
bcic2b,0,2,deep,280,71.42857142857143,0.4285714285714286,0.10599806261198616,0.5913957039562553,0.39326346546760393,0.817237907426572
bcic2b,0,2,final,280,75.35714285714286,0.5071428571428571,0.14368436334095558,0.6349621684838926,0.40105873024940764,0.8504736060044037
bcic2b,0,2,ensemble,280,74.28571428571429,0.48571428571428577,0.11734932863833777,0.5841350312038094,0.38334167596928875,0.8260421741554749
bcic2b,0,3,shallow,320,75.9375,0.51875,0.06037610021938955,0.5351422513314755,0.3503902780552076,0.7186533811899856
bcic2b,0,3,mid,320,84.6875,0.69375,0.03653620630376049,0.3574354593021307,0.22182723346903338,0.8369346447998953
bcic2b,0,3,deep,320,84.375,0.6875,0.07990450305957465,0.34930241407594076,0.21573365496253,0.8183044900375904
bcic2b,0,3,final,320,86.875,0.7375,0.02648815862212809,0.31192396224268715,0.19133366823500558,0.8612297030505298
bcic2b,0,3,ensemble,320,86.5625,0.73125,0.04573736954827338,0.32191111734204025,0.1952789235751316,0.8318866588704896
