dataset,subject,shallow,mid,deep,final
bcic2a,1,0.09040120989084244,0.31461989879608154,0.3596881628036499,0.2352907359600067
bcic2a,2,0.08705134689807892,0.2981320917606354,0.34667012095451355,0.2681465148925781
bcic2a,3,0.0931185930967331,0.3151768445968628,0.363403856754303,0.2283007651567459
bcic2a,4,0.08548220992088318,0.3114488124847412,0.3602624833583832,0.24280647933483124
bcic2a,5,0.0920959860086441,0.3101343810558319,0.35895422101020813,0.23881542682647705
bcic2a,6,0.09109444916248322,0.31699055433273315,0.3637804687023163,0.22813454270362854
bcic2a,7,0.10695283114910126,0.3202406167984009,0.367412269115448,0.2053942233324051
bcic2a,8,0.09612054377794266,0.30090460181236267,0.3482801914215088,0.25469473004341125
bcic2a,9,0.09262900799512863,0.30126041173934937,0.3424393832683563,0.26367121934890747
bcic2b,1,0.11515383422374725,0.29536086320877075,0.3557748794555664,0.2337104231119156
bcic2b,2,0.10668040066957474,0.22995281219482422,0.27521029114723206,0.388156533241272
bcic2b,3,0.09978548437356949,0.2004528045654297,0.24699322879314423,0.452768474817276
bcic2b,4,0.1129709929227829,0.22689953446388245,0.27676379680633545,0.383365660905838
bcic2b,5,0.12046129256486893,0.2632752060890198,0.32035964727401733,0.2959038019180298
bcic2b,6,0.1048087552189827,0.2170886993408203,0.2682044804096222,0.4098981022834778
bcic2b,7,0.10781411826610565,0.29355117678642273,0.3546167016029358,0.2440180480480194
bcic2b,8,0.11757951229810715,0.23928330838680267,0.2848176062107086,0.35831958055496216
bcic2b,9,0.11087837815284729,0.22053541243076324,0.26927831768989563,0.39930784702301025
