dataset,subject,exit,bin,lower,upper,n,accuracy,confidence
bcic2a,8,shallow,0,0.0,0.06666666666666667,0,,
bcic2a,8,shallow,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,8,shallow,2,0.13333333333333333,0.2,0,,
bcic2a,8,shallow,3,0.2,0.26666666666666666,0,,
bcic2a,8,shallow,4,0.26666666666666666,0.3333333333333333,1,1.0,0.3277525659770796
bcic2a,8,shallow,5,0.3333333333333333,0.4,4,0.5,0.3729851311175419
bcic2a,8,shallow,6,0.4,0.4666666666666667,12,0.5833333333333334,0.4400819952026494
bcic2a,8,shallow,7,0.4666666666666667,0.5333333333333333,16,0.5625,0.5054561611827072
bcic2a,8,shallow,8,0.5333333333333333,0.6,10,0.4,0.5649956285002598
bcic2a,8,shallow,9,0.6,0.6666666666666666,10,0.6,0.6338319027145157
bcic2a,8,shallow,10,0.6666666666666666,0.7333333333333333,16,0.9375,0.7041984752157505
bcic2a,8,shallow,11,0.7333333333333333,0.8,26,0.8461538461538461,0.7692676998522455
bcic2a,8,shallow,12,0.8,0.8666666666666667,23,0.8695652173913043,0.835163978846899
bcic2a,8,shallow,13,0.8666666666666667,0.9333333333333333,56,0.9107142857142857,0.9021231586377098
bcic2a,8,shallow,14,0.9333333333333333,1.0,114,1.0,0.9697726639430657
bcic2a,8,mid,0,0.0,0.06666666666666667,0,,
bcic2a,8,mid,1,0.06666666666666667,0.13333333333333333,0,,
bcic2a,8,mid,2,0.13333333333333333,0.2,0,,
bcic2a,8,mid,3,0.2,0.26666666666666666,0,,
bcic2a,8,mid,4,0.26666666666666666,0.3333333333333333,0,,
bcic2a,8,mid,5,0.3333333333333333,0.4,1,1.0,0.3455158484913656
bcic2a,8,mid,6,0.4,0.4666666666666667,0,,
bcic2a,8,mid,7,0.4666666666666667,0.5333333333333333,7,0.5714285714285714,0.495344704867834
bcic2a,8,mid,8,0.5333333333333333,0.6,1,1.0,0.5624376005722892
bcic2a,8,mid,9,0.6,0.6666666666666666,2,0.0,0.6271564518702603
bcic2a,8,mid,10,0.6666666666666666,0.7333333333333333,3,1.0,0.705847165032827
bcic2a,8,mid,11,0.7333333333333333,0.8,4,0.75,0.7719431690396571
