dataset,subject,exit,bin,lower,upper,n,accuracy,confidence
bcic2b,4,shallow,0,0.0,0.06666666666666667,0,,
bcic2b,4,shallow,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,4,shallow,2,0.13333333333333333,0.2,0,,
bcic2b,4,shallow,3,0.2,0.26666666666666666,0,,
bcic2b,4,shallow,4,0.26666666666666666,0.3333333333333333,0,,
bcic2b,4,shallow,5,0.3333333333333333,0.4,0,,
bcic2b,4,shallow,6,0.4,0.4666666666666667,0,,
bcic2b,4,shallow,7,0.4666666666666667,0.5333333333333333,2,1.0,0.5139537012281334
bcic2b,4,shallow,8,0.5333333333333333,0.6,5,0.4,0.5722533279882572
bcic2b,4,shallow,9,0.6,0.6666666666666666,4,0.5,0.6383192520412656
bcic2b,4,shallow,10,0.6666666666666666,0.7333333333333333,4,1.0,0.7081683805173327
bcic2b,4,shallow,11,0.7333333333333333,0.8,10,0.9,0.7607271851521924
bcic2b,4,shallow,12,0.8,0.8666666666666667,14,0.9285714285714286,0.8344455685801779
bcic2b,4,shallow,13,0.8666666666666667,0.9333333333333333,28,1.0,0.9016839586470972
bcic2b,4,shallow,14,0.9333333333333333,1.0,253,0.9960474308300395,0.9828922212049598
bcic2b,4,mid,0,0.0,0.06666666666666667,0,,
bcic2b,4,mid,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,4,mid,2,0.13333333333333333,0.2,0,,
bcic2b,4,mid,3,0.2,0.26666666666666666,0,,
bcic2b,4,mid,4,0.26666666666666666,0.3333333333333333,0,,
bcic2b,4,mid,5,0.3333333333333333,0.4,0,,
bcic2b,4,mid,6,0.4,0.4666666666666667,0,,
bcic2b,4,mid,7,0.4666666666666667,0.5333333333333333,2,1.0,0.5273123304427381
bcic2b,4,mid,8,0.5333333333333333,0.6,3,1.0,0.5533844785603956
bcic2b,4,mid,9,0.6,0.6666666666666666,0,,
bcic2b,4,mid,10,0.6666666666666666,0.7333333333333333,1,1.0,0.7079556578877951
bcic2b,4,mid,11,0.7333333333333333,0.8,3,1.0,0.7616659730582945
bcic2b,4,mid,12,0.8,0.8666666666666667,5,0.8,0.8384111744311016
bcic2b,4,mid,13,0.8666666666666667,0.9333333333333333,6,1.0,0.9105112405452486
bcic2b,4,mid,14,0.9333333333333333,1.0,300,0.9933333333333333,0.9839733682229689
bcic2b,4,deep,0,0.0,0.06666666666666667,0,,
bcic2b,4,deep,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,4,deep,2,0.13333333333333333,0.2,0,,
bcic2b,4,deep,3,0.2,0.26666666666666666,0,,
bcic2b,4,deep,4,0.26666666666666666,0.3333333333333333,0,,
bcic2b,4,deep,5,0.3333333333333333,0.4,0,,
bcic2b,4,deep,6,0.4,0.4666666666666667,0,,
bcic2b,4,deep,7,0.4666666666666667,0.5333333333333333,1,1.0,0.5280928948850043
bcic2b,4,deep,8,0.5333333333333333,0.6,4,0.25,0.5696862476749779
bcic2b,4,deep,9,0.6,0.6666666666666666,1,1.0,0.6491526343151929
bcic2b,4,deep,10,0.6666666666666666,0.7333333333333333,1,1.0,0.7279545033730584
bcic2b,4,deep,11,0.7333333333333333,0.8,0,,
bcic2b,4,deep,12,0.8,0.8666666666666667,6,1.0,0.839563284151787
bcic2b,4,deep,13,0.8666666666666667,0.9333333333333333,6,0.8333333333333334,0.9034205840777377
bcic2b,4,deep,14,0.9333333333333333,1.0,301,0.9933554817275747,0.9842567775258689
bcic2b,4,final,0,0.0,0.06666666666666667,0,,
bcic2b,4,final,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,4,final,2,0.13333333333333333,0.2,0,,
bcic2b,4,final,3,0.2,0.26666666666666666,0,,
bcic2b,4,final,4,0.26666666666666666,0.3333333333333333,0,,
bcic2b,4,final,5,0.3333333333333333,0.4,0,,
bcic2b,4,final,6,0.4,0.4666666666666667,0,,
bcic2b,4,final,7,0.4666666666666667,0.5333333333333333,1,0.0,0.5253164380338999
bcic2b,4,final,8,0.5333333333333333,0.6,2,1.0,0.5622104740796215
bcic2b,4,final,9,0.6,0.6666666666666666,1,0.0,0.607086463428948
bcic2b,4,final,10,0.6666666666666666,0.7333333333333333,3,1.0,0.6912051586667287
bcic2b,4,final,11,0.7333333333333333,0.8,2,1.0,0.7794023495234772
bcic2b,4,final,12,0.8,0.8666666666666667,2,1.0,0.8396670492341758
bcic2b,4,final,13,0.8666666666666667,0.9333333333333333,5,0.8,0.91212399725926
bcic2b,4,final,14,0.9333333333333333,1.0,304,0.993421052631579,0.9871394980820569
bcic2b,4,ensemble,0,0.0,0.06666666666666667,0,,
bcic2b,4,ensemble,1,0.06666666666666667,0.13333333333333333,0,,
bcic2b,4,ensemble,2,0.13333333333333333,0.2,0,,
bcic2b,4,ensemble,3,0.2,0.26666666666666666,0,,
bcic2b,4,ensemble,4,0.26666666666666666,0.3333333333333333,0,,
bcic2b,4,ensemble,5,0.3333333333333333,0.4,0,,
bcic2b,4,ensemble,6,0.4,0.4666666666666667,0,,
bcic2b,4,ensemble,7,0.4666666666666667,0.5333333333333333,2,1.0,0.5157501649452305
bcic2b,4,ensemble,8,0.5333333333333333,0.6,3,1.0,0.5763953349912528
bcic2b,4,ensemble,9,0.6,0.6666666666666666,1,1.0,0.6149613788236543
bcic2b,4,ensemble,10,0.6666666666666666,0.7333333333333333,0,,
bcic2b,4,ensemble,11,0.7333333333333333,0.8,4,1.0,0.7652890148727057
bcic2b,4,ensemble,12,0.8,0.8666666666666667,3,0.6666666666666666,0.8551393319263995
bcic2b,4,ensemble,13,0.8666666666666667,0.9333333333333333,7,1.0,0.9129408441234809
bcic2b,4,ensemble,14,0.9333333333333333,1.0,300,0.9933333333333333,0.9847428123414249
