dataset,exit,n_subjects,accuracy_pct,ece_15,nll,brier_sum
IV-2a,S,9,83.02469135802468,0.06574437526191998,0.49211273219112633,0.2538849963018048
IV-2a,M,9,86.38117283950618,0.08023688716484716,0.48925796126837795,0.22905638473499346
IV-2a,D,9,86.57407407407408,0.08210308122655723,0.49015401235473266,0.22799763767664796
IV-2a,F,9,85.99537037037037,0.08221392900089501,0.4876611892934864,0.2286476274733329
IV-2a,Fusion,9,87.03703703703704,0.07799870252157656,0.4696682805653664,0.22318703195801723
IV-2b,S,9,86.83035714285714,0.05369536148184681,0.3115367114737028,0.1917235460508197
IV-2b,M,9,89.37996031746032,0.05210027687823872,0.2819889449338472,0.16767454813111154
IV-2b,D,9,89.04761904761905,0.056472628880942094,0.2851677752879008,0.16975849563507742
IV-2b,F,9,89.76190476190476,0.05215090866906268,0.2816458345432301,0.16502901051919494
IV-2b,Fusion,9,89.99007936507935,0.053138824080660015,0.27340805929873085,0.16244458503362458
