dataset,subject,exit_1,exit_2,prediction_disagreement_pct,binary_error_correlation
IV-2a,1,S,M,6.944444444444445,0.6232519696370811
IV-2a,1,S,D,6.597222222222222,0.6294814720926716
IV-2a,1,S,F,9.027777777777777,0.5188646570343673
IV-2a,1,M,D,1.0416666666666665,0.9519475832576874
IV-2a,1,M,F,3.4722222222222223,0.8147582256820414
IV-2a,1,D,F,3.8194444444444446,0.7735624326254518
IV-2a,2,S,M,15.277777777777779,0.7382955349335462
IV-2a,2,S,D,15.277777777777779,0.7357925630556499
IV-2a,2,S,F,17.01388888888889,0.7001243155408121
IV-2a,2,M,D,3.4722222222222223,0.9504686335499757
IV-2a,2,M,F,8.333333333333332,0.8616238446998798
IV-2a,2,D,F,6.944444444444445,0.8776277942504052
IV-2a,3,S,M,3.8194444444444446,0.5161784345154994
IV-2a,3,S,D,4.166666666666666,0.48628267929231583
IV-2a,3,S,F,4.166666666666666,0.45303814108408685
IV-2a,3,M,D,0.3472222222222222,0.9469816226033047
IV-2a,3,M,F,2.430555555555556,0.5768179036829715
IV-2a,3,D,F,2.083333333333333,0.6604056805466271
IV-2a,4,S,M,12.5,0.4999804352504544
IV-2a,4,S,D,11.805555555555555,0.5231041031095629
IV-2a,4,S,F,11.805555555555555,0.5426095162342931
IV-2a,4,M,D,0.6944444444444444,0.9654447061958614
IV-2a,4,M,F,2.083333333333333,0.948119444628904
IV-2a,4,D,F,2.083333333333333,0.946685006519578
IV-2a,5,S,M,12.847222222222221,0.7054999568862447
IV-2a,5,S,D,13.194444444444445,0.6960669166708251
IV-2a,5,S,F,14.23611111111111,0.6746994312672521
IV-2a,5,M,D,2.083333333333333,0.9439756839125835
IV-2a,5,M,F,4.513888888888888,0.8738021786148191
IV-2a,5,D,F,3.8194444444444446,0.8878646576886683
IV-2a,6,S,M,12.5,0.7675259045922347
IV-2a,6,S,D,12.5,0.7675259045922347
IV-2a,6,S,F,11.805555555555555,0.7725858991498448
IV-2a,6,M,D,0.6944444444444444,0.9825570831566833
IV-2a,6,M,F,6.944444444444445,0.8818702024745662
IV-2a,6,D,F,6.944444444444445,0.8818702024745664
IV-2a,7,S,M,9.027777777777777,0.5438920184108584
IV-2a,7,S,D,9.375,0.5202536312813706
IV-2a,7,S,F,8.333333333333332,0.5867603548373299
IV-2a,7,M,D,1.0416666666666665,0.9091659564763733
IV-2a,7,M,F,2.7777777777777777,0.7629629629629631
IV-2a,7,D,F,2.430555555555556,0.7874366233916712
IV-2a,8,S,M,9.027777777777777,0.5600398951526687
IV-2a,8,S,D,7.986111111111111,0.6351290431060992
IV-2a,8,S,F,7.986111111111111,0.6187438240245032
IV-2a,8,M,D,2.083333333333333,0.8636363636363634
IV-2a,8,M,F,2.430555555555556,0.8440761634182556
IV-2a,8,D,F,2.430555555555556,0.8440761634182556
IV-2a,9,S,M,9.027777777777777,0.6062013500807154
IV-2a,9,S,D,9.375,0.5919797110312807
IV-2a,9,S,F,9.722222222222223,0.540375521484315
IV-2a,9,M,D,1.7361111111111112,0.9213889789075737
IV-2a,9,M,F,3.8194444444444446,0.7803755095555437
IV-2a,9,D,F,2.7777777777777777,0.8496139941241992
IV-2b,1,S,M,7.187499999999999,0.7815582873503001
IV-2b,1,S,D,5.9375,0.8216111405010929
