dataset,subject,exit,s_raw,s_effective,precision_exp_minus_s,fixed_prior_or_final_coefficient,normalized_fusion_weight
IV-2a,1,S,-0.9405556917190552,-0.9405556917190552,2.5614044666290283,0.45,0.09040120989084244
IV-2a,1,M,-1.4945160150527954,-1.4945160150527954,4.457178592681885,0.9,0.31461989879608154
IV-2a,1,D,-1.3832659721374512,-1.3832659721374512,3.9879047870635986,1.15,0.3596881628036499
IV-2a,1,F,,,,3.0,0.2352907359600067
IV-2a,2,S,-0.7720845937728882,-0.7720845937728882,2.164273262023926,0.45,0.08705134689807892
IV-2a,2,M,-1.3099759817123413,-1.3099759817123413,3.706084728240967,0.9,0.2981320917606354
IV-2a,2,D,-1.2156906127929688,-1.2156906127929688,3.37262225151062,1.15,0.34667012095451355
IV-2a,2,F,,,,3.0,0.2681465148925781
IV-2a,3,S,-1.0003299713134766,-1.0003299713134766,2.7191789150238037,0.45,0.0931185930967331
IV-2a,3,M,-1.5264427661895752,-1.5264427661895752,4.601778030395508,0.9,0.3151768445968628
IV-2a,3,D,-1.4237011671066284,-1.4237011671066284,4.152461051940918,1.15,0.363403856754303
IV-2a,3,F,,,,3.0,0.2283007651567459
IV-2a,4,S,-0.8531635999679565,-0.8531635999679565,2.347060203552246,0.45,0.08548220992088318
IV-2a,4,M,-1.4529430866241455,-1.4529430866241455,4.275679588317871,0.9,0.3114488124847412
IV-2a,4,D,-1.3534184694290161,-1.3534184694290161,3.8706345558166504,1.15,0.3602624833583832
IV-2a,4,F,,,,3.0,0.24280647933483124
IV-2a,5,S,-0.9442603588104248,-0.9442603588104248,2.570910930633545,0.45,0.0920959860086441
IV-2a,5,M,-1.465287446975708,-1.465287446975708,4.328787326812744,0.9,0.3101343810558319
IV-2a,5,D,-1.3663543462753296,-1.3663543462753296,3.921029806137085,1.15,0.35895422101020813
IV-2a,5,F,,,,3.0,0.23881542682647705
IV-2a,6,S,-0.9790813326835632,-0.9790813326835632,2.6620097160339355,0.45,0.09109444916248322
IV-2a,6,M,-1.5329092741012573,-1.5329092741012573,4.631632328033447,0.9,0.31699055433273315
IV-2a,6,D,-1.4254653453826904,-1.4254653453826904,4.159792900085449,1.15,0.3637804687023163
IV-2a,6,F,,,,3.0,0.22813454270362854
IV-2a,7,S,-1.2445766925811768,-1.2445766925811768,3.4714648723602295,0.45,0.10695283114910126
IV-2a,7,M,-1.6481143236160278,-1.6481143236160278,5.197170257568359,0.9,0.3202406167984009
IV-2a,7,D,-1.5404037237167358,-1.5404037237167358,4.666473865509033,1.15,0.367412269115448
IV-2a,7,F,,,,3.0,0.2053942233324051
IV-2a,8,S,-0.9226574301719666,-0.9226574301719666,2.515967607498169,0.45,0.09612054377794266
IV-2a,8,M,-1.3707003593444824,-1.3707003593444824,3.93810772895813,0.9,0.30090460181236267
IV-2a,8,D,-1.271791934967041,-1.271791934967041,3.5672390460968018,1.15,0.3482801914215088
IV-2a,8,F,,,,3.0,0.25469473004341125
IV-2a,9,S,-0.8510195016860962,-0.8510195016860962,2.3420331478118896,0.45,0.09262900799512863
IV-2a,9,M,-1.337244987487793,-1.337244987487793,3.8085365295410156,0.9,0.30126041173934937
IV-2a,9,D,-1.2202421426773071,-1.2202421426773071,3.388007879257202,1.15,0.3424393832683563
IV-2a,9,F,,,,3.0,0.26367121934890747
IV-2b,1,S,-1.1893061399459839,-1.1893061399459839,3.2848010063171387,0.45,0.11515383422374725
IV-2b,1,M,-1.438087821006775,-1.438087821006775,4.212632656097412,0.9,0.29536086320877075
IV-2b,1,D,-1.379065752029419,-1.379065752029419,3.9711902141571045,1.15,0.3557748794555664
IV-2b,1,F,,,,3.0,0.2337104231119156
IV-2b,2,S,-0.6055487990379333,-0.6055487990379333,1.8322573900222778,0.45,0.10668040066957474
IV-2b,2,M,-0.6804382801055908,-0.6804382801055908,1.974743127822876,0.9,0.22995281219482422
IV-2b,2,D,-0.6149771213531494,-0.6149771213531494,1.8496143817901611,1.15,0.27521029114723206
IV-2b,2,F,,,,3.0,0.388156533241272
IV-2b,3,S,-0.38476184010505676,-0.38476184010505676,1.4692643880844116,0.45,0.09978548437356949
IV-2b,3,M,-0.3891708552837372,-0.3891708552837372,1.4757566452026367,0.9,0.2004528045654297
IV-2b,3,D,-0.35283035039901733,-0.35283035039901733,1.423089623451233,1.15,0.24699322879314423
IV-2b,3,F,,,,3.0,0.452768474817276
IV-2b,4,S,-0.6752618551254272,-0.6752618551254272,1.9645473957061768,0.45,0.1129709929227829
IV-2b,4,M,-0.6794909238815308,-0.6794909238815308,1.9728732109069824,0.9,0.22689953446388245
IV-2b,4,D,-0.6330254673957825,-0.6330254673957825,1.8832998275756836,1.15,0.27676379680633545
IV-2b,4,F,,,,3.0,0.383365660905838
IV-2b,5,S,-0.9984140992164612,-0.9984140992164612,2.7139744758605957,0.45,0.12046129256486893
IV-2b,5,M,-1.0871381759643555,-1.0871381759643555,2.9657742977142334,0.9,0.2632752060890198
IV-2b,5,D,-1.0382602214813232,-1.0382602214813232,2.824298858642578,1.15,0.32035964727401733
IV-2b,5,F,,,,3.0,0.2959038019180298
IV-2b,6,S,-0.5333486795425415,-0.5333486795425415,1.7046310901641846,0.45,0.1048087552189827
IV-2b,6,M,-0.5683702230453491,-0.5683702230453491,1.7653875350952148,0.9,0.2170886993408203
IV-2b,6,D,-0.534691333770752,-0.534691333770752,1.7069213390350342,1.15,0.2682044804096222
IV-2b,6,F,,,,3.0,0.4098981022834778
IV-2b,7,S,-1.0802863836288452,-1.0802863836288452,2.9455227851867676,0.45,0.10781411826610565
IV-2b,7,M,-1.3887826204299927,-1.3887826204299927,4.009965419769287,0.9,0.29355117678642273
IV-2b,7,D,-1.3326456546783447,-1.3326456546783447,3.791059970855713,1.15,0.3546167016029358
IV-2b,7,F,,,,3.0,0.2440180480480194
IV-2b,8,S,-0.7828095555305481,-0.7828095555305481,2.187609910964966,0.45,0.11757951229810715
