dataset,exit,bin,lower,upper,n_trials,mean_confidence,accuracy,trial_fraction
IV-2a,S,0,0.0,0.06666666666666667,0,,,0.0
IV-2a,S,1,0.06666666666666667,0.13333333333333333,0,,,0.0
IV-2a,S,2,0.13333333333333333,0.2,0,,,0.0
IV-2a,S,3,0.2,0.26666666666666666,0,,,0.0
IV-2a,S,4,0.26666666666666666,0.3333333333333333,7,0.32089840323752616,0.5714285714285714,0.002700617283950617
IV-2a,S,5,0.3333333333333333,0.4,32,0.3710934991106092,0.46875,0.012345679012345678
IV-2a,S,6,0.4,0.4666666666666667,73,0.43887803748204834,0.4520547945205479,0.02816358024691358
IV-2a,S,7,0.4666666666666667,0.5333333333333333,139,0.5023090872464866,0.5755395683453237,0.053626543209876545
IV-2a,S,8,0.5333333333333333,0.6,125,0.5673425204918782,0.552,0.04822530864197531
IV-2a,S,9,0.6,0.6666666666666666,145,0.6304038129087384,0.6344827586206897,0.05594135802469136
IV-2a,S,10,0.6666666666666666,0.7333333333333333,163,0.7024936071595053,0.6687116564417178,0.0628858024691358
IV-2a,S,11,0.7333333333333333,0.8,181,0.7693783993891548,0.7569060773480663,0.06983024691358025
IV-2a,S,12,0.8,0.8666666666666667,221,0.8349871083741358,0.8144796380090498,0.08526234567901235
IV-2a,S,13,0.8666666666666667,0.9333333333333333,458,0.904964187027126,0.8973799126637555,0.17669753086419754
IV-2a,S,14,0.9333333333333333,1.0,1048,0.9694019930471772,0.9751908396946565,0.404320987654321
IV-2a,M,0,0.0,0.06666666666666667,0,,,0.0
IV-2a,M,1,0.06666666666666667,0.13333333333333333,0,,,0.0
IV-2a,M,2,0.13333333333333333,0.2,0,,,0.0
IV-2a,M,3,0.2,0.26666666666666666,0,,,0.0
IV-2a,M,4,0.26666666666666666,0.3333333333333333,0,,,0.0
IV-2a,M,5,0.3333333333333333,0.4,2,0.35379348327379295,0.5,0.0007716049382716049
IV-2a,M,6,0.4,0.4666666666666667,7,0.43901528383330163,0.8571428571428571,0.002700617283950617
IV-2a,M,7,0.4666666666666667,0.5333333333333333,52,0.49972095132238825,0.4230769230769231,0.020061728395061727
IV-2a,M,8,0.5333333333333333,0.6,42,0.5610149848244432,0.5714285714285714,0.016203703703703703
IV-2a,M,9,0.6,0.6666666666666666,39,0.6377648700158673,0.5641025641025641,0.015046296296296295
IV-2a,M,10,0.6666666666666666,0.7333333333333333,58,0.7042475211377908,0.5517241379310345,0.022376543209876542
IV-2a,M,11,0.7333333333333333,0.8,69,0.7683447226689857,0.6956521739130435,0.02662037037037037
IV-2a,M,12,0.8,0.8666666666666667,99,0.8340564367658206,0.6767676767676768,0.03819444444444445
IV-2a,M,13,0.8666666666666667,0.9333333333333333,209,0.9075825501575187,0.6842105263157895,0.08063271604938271
IV-2a,M,14,0.9333333333333333,1.0,2015,0.9694317761170439,0.9300248138957816,0.777391975308642
IV-2a,D,0,0.0,0.06666666666666667,0,,,0.0
IV-2a,D,1,0.06666666666666667,0.13333333333333333,0,,,0.0
IV-2a,D,2,0.13333333333333333,0.2,0,,,0.0
IV-2a,D,3,0.2,0.26666666666666666,0,,,0.0
IV-2a,D,4,0.26666666666666666,0.3333333333333333,1,0.3302507112717443,1.0,0.00038580246913580245
IV-2a,D,5,0.3333333333333333,0.4,3,0.378968059130315,0.3333333333333333,0.0011574074074074073
IV-2a,D,6,0.4,0.4666666666666667,16,0.44685214147904256,0.5625,0.006172839506172839
IV-2a,D,7,0.4666666666666667,0.5333333333333333,42,0.5038469743177695,0.4523809523809524,0.016203703703703703
IV-2a,D,8,0.5333333333333333,0.6,42,0.5656163551214417,0.6428571428571429,0.016203703703703703
IV-2a,D,9,0.6,0.6666666666666666,40,0.6310227521225388,0.575,0.015432098765432098
IV-2a,D,10,0.6666666666666666,0.7333333333333333,60,0.7008807712835804,0.55,0.023148148148148147
IV-2a,D,11,0.7333333333333333,0.8,48,0.7714761200389271,0.6666666666666666,0.018518518518518517
IV-2a,D,12,0.8,0.8666666666666667,95,0.8360868847350958,0.631578947368421,0.03665123456790124
IV-2a,D,13,0.8666666666666667,0.9333333333333333,201,0.9041754298559886,0.6915422885572139,0.0775462962962963
IV-2a,D,14,0.9333333333333333,1.0,2044,0.9691713915662313,0.9295499021526419,0.7885802469135802
IV-2a,F,0,0.0,0.06666666666666667,0,,,0.0
IV-2a,F,1,0.06666666666666667,0.13333333333333333,0,,,0.0
IV-2a,F,2,0.13333333333333333,0.2,0,,,0.0
IV-2a,F,3,0.2,0.26666666666666666,0,,,0.0
IV-2a,F,4,0.26666666666666666,0.3333333333333333,1,0.2820134999195067,0.0,0.00038580246913580245
IV-2a,F,5,0.3333333333333333,0.4,5,0.3791249273929469,0.2,0.0019290123456790122
IV-2a,F,6,0.4,0.4666666666666667,7,0.4355562141536181,0.42857142857142855,0.002700617283950617
IV-2a,F,7,0.4666666666666667,0.5333333333333333,32,0.5027524563044573,0.375,0.012345679012345678
IV-2a,F,8,0.5333333333333333,0.6,38,0.561158597604679,0.42105263157894735,0.014660493827160493
IV-2a,F,9,0.6,0.6666666666666666,48,0.6361943734011478,0.4166666666666667,0.018518518518518517
IV-2a,F,10,0.6666666666666666,0.7333333333333333,43,0.6987435329587911,0.5348837209302325,0.016589506172839507
IV-2a,F,11,0.7333333333333333,0.8,58,0.7670052470923984,0.5172413793103449,0.022376543209876542
IV-2a,F,12,0.8,0.8666666666666667,90,0.8364392518207805,0.6888888888888889,0.034722222222222224
IV-2a,F,13,0.8666666666666667,0.9333333333333333,174,0.905337607008975,0.6954022988505747,0.06712962962962964
IV-2a,F,14,0.9333333333333333,1.0,2096,0.9714429577504329,0.9260496183206107,0.808641975308642
IV-2a,Fusion,0,0.0,0.06666666666666667,0,,,0.0
IV-2a,Fusion,1,0.06666666666666667,0.13333333333333333,0,,,0.0
IV-2a,Fusion,2,0.13333333333333333,0.2,0,,,0.0
IV-2a,Fusion,3,0.2,0.26666666666666666,0,,,0.0
IV-2a,Fusion,4,0.26666666666666666,0.3333333333333333,0,,,0.0
IV-2a,Fusion,5,0.3333333333333333,0.4,7,0.38291161544295677,0.8571428571428571,0.002700617283950617
IV-2a,Fusion,6,0.4,0.4666666666666667,13,0.43183585142798003,0.5384615384615384,0.005015432098765432
IV-2a,Fusion,7,0.4666666666666667,0.5333333333333333,42,0.5038179241089503,0.6190476190476191,0.016203703703703703
IV-2a,Fusion,8,0.5333333333333333,0.6,41,0.5645688376640127,0.6341463414634146,0.015817901234567902
IV-2a,Fusion,9,0.6,0.6666666666666666,51,0.6347747477024543,0.6666666666666666,0.019675925925925927
IV-2a,Fusion,10,0.6666666666666666,0.7333333333333333,51,0.6996504046193774,0.5490196078431373,0.019675925925925927
IV-2a,Fusion,11,0.7333333333333333,0.8,65,0.767545930331627,0.6,0.02507716049382716
IV-2a,Fusion,12,0.8,0.8666666666666667,118,0.8360444017938106,0.6016949152542372,0.04552469135802469
IV-2a,Fusion,13,0.8666666666666667,0.9333333333333333,232,0.9068483928249715,0.75,0.08950617283950617
