dataset,subject,n_trials,final_accuracy_pct,fusion_accuracy_pct,accuracy_change_pp,rescued_errors,introduced_errors,ece_change,nll_change,brier_change
IV-2a,1,288,91.31944444444444,93.05555555555556,1.7361111111111112,6,1,0.002418220535161074,-0.0024500515068434092,-0.005495983108130986
IV-2a,2,288,68.75,70.13888888888889,1.3888888888888888,7,3,-0.011614622722200096,-0.05747084559915061,-0.016718831656710287
IV-2a,3,288,97.22222222222221,97.56944444444444,0.3472222222222222,2,1,0.00748935385371096,-0.005537224789890563,-0.002611354176917352
IV-2a,4,288,88.88888888888889,89.23611111111111,0.3472222222222222,1,0,-0.005316024056864266,-0.004992233164209936,0.0018187916381682545
IV-2a,5,288,81.25,81.25,0.0,4,4,0.001846569425173139,-0.006254689485164722,0.002595420505311863
IV-2a,6,288,70.48611111111111,73.61111111111111,3.125,9,0,-0.02102287604047154,-0.04056473257232618,-0.01701946201676463
IV-2a,7,288,93.75,95.13888888888889,1.3888888888888888,5,1,0.0013555455446398607,-0.007203246115263295,-0.004563651995851778
IV-2a,8,288,91.31944444444444,92.01388888888889,0.6944444444444444,3,1,0.0013684285924783907,-0.01944542425720963,-0.0043231876850148565
IV-2a,9,288,90.97222222222221,91.31944444444444,0.3472222222222222,3,2,-0.014461633445493758,-0.018017731063022457,-0.0028271011419311876
IV-2b,1,320,81.5625,82.1875,0.625,4,2,0.017639858170647227,-0.01468781186943291,-0.0016996640982465672
IV-2b,2,280,75.35714285714286,74.28571428571429,-1.0714285714285714,4,7,-0.026335034702617804,-0.05082713728008326,-0.017717054280118882
IV-2b,3,320,86.875,86.5625,-0.3125,8,9,0.019249210926145288,0.009987155099353107,0.003945255340126019
IV-2b,4,320,98.4375,99.0625,0.625,2,0,0.003589826131779786,-0.0008043950754041962,-0.0008390822955349937
IV-2b,5,320,99.375,99.375,0.0,0,0,0.0027378240563193136,0.004925316626691746,0.0025784635948627177
IV-2b,6,320,90.0,90.625,0.625,4,2,-0.008565971799487052,-0.022148346659915996,-0.012980951129085816
IV-2b,7,320,92.5,93.125,0.625,3,1,-0.004690052438882944,-0.004783213831670907,0.0009805170621253606
IV-2b,8,320,94.375,94.6875,0.3125,1,0,0.007316692915158643,0.004752249979865175,0.0028657441623403668
IV-2b,9,320,89.375,90.0,0.625,5,3,-0.0020511145546864146,-0.0005537941898965948,-0.0003930577266016422
