dataset,subject,exit,n_trials,accuracy_pct,error_rate,ece_15,nll,brier_sum
IV-2a,1,S,288,88.88888888888889,0.1111111111111111,0.051658677952725066,0.3549497381001684,0.19170575717734337
IV-2a,1,M,288,92.70833333333334,0.07291666666666667,0.0378844103751999,0.29647328062289996,0.13368248037397734
IV-2a,1,D,288,92.01388888888889,0.0798611111111111,0.03105203959022068,0.29587727941361125,0.1359812079026147
IV-2a,1,F,288,91.31944444444444,0.08680555555555555,0.03810405633343725,0.27953673997694367,0.13347926685433759
IV-2a,1,Fusion,288,93.05555555555556,0.06944444444444445,0.04052227686859832,0.27708668847010026,0.1279832837462066
IV-2a,2,S,288,69.09722222222221,0.3090277777777778,0.08012807165170452,0.9264648135845786,0.46046331571360444
IV-2a,2,M,288,69.79166666666666,0.3020833333333333,0.18685365206553167,1.0465700445729442,0.4917947838220488
IV-2a,2,D,288,71.18055555555556,0.2881944444444444,0.18091768717377868,1.0450529519070073,0.48310046591382894
IV-2a,2,F,288,68.75,0.3125,0.19970264046402197,1.0631815533977584,0.4993296328379848
IV-2a,2,Fusion,288,70.13888888888889,0.2986111111111111,0.18808801774182188,1.0057107077986078,0.48261080118127453
IV-2a,3,S,288,95.13888888888889,0.04861111111111111,0.06679507334695413,0.17557631497291087,0.07571803473726677
IV-2a,3,M,288,96.875,0.03125,0.035462816435486544,0.11321346802795279,0.0457269051931861
IV-2a,3,D,288,96.52777777777779,0.034722222222222224,0.042094140123646956,0.10841886817823095,0.043581562593058454
IV-2a,3,F,288,97.22222222222221,0.027777777777777776,0.03316636805152334,0.11223041795156401,0.04430126401212123
IV-2a,3,Fusion,288,97.56944444444444,0.024305555555555556,0.0406557219052343,0.10669319316167344,0.041689909835203875
IV-2a,4,S,288,85.41666666666666,0.14583333333333334,0.06660927738595726,0.41095253116837477,0.22222092236715513
IV-2a,4,M,288,88.54166666666666,0.11458333333333333,0.047024702800977355,0.4063630413244785,0.19259930392254349
IV-2a,4,D,288,89.23611111111111,0.1076388888888889,0.05604662177131001,0.4008313490407302,0.18773119771508548
IV-2a,4,F,288,88.88888888888889,0.1111111111111111,0.05081170053566919,0.38617970050826067,0.18050833432982458
IV-2a,4,Fusion,288,89.23611111111111,0.1076388888888889,0.045495676478804925,0.38118746734405073,0.18232712596799283
IV-2a,5,S,288,75.34722222222221,0.2465277777777778,0.07687221902901385,0.648071887558892,0.34724465317409786
IV-2a,5,M,288,81.59722222222221,0.1840277777777778,0.1251298688256932,0.6980955065382494,0.32718047009537377
IV-2a,5,D,288,80.55555555555556,0.19444444444444445,0.12155474132858862,0.6981971706692531,0.3270341310239173
IV-2a,5,F,288,81.25,0.1875,0.1189757798786932,0.6709593642129101,0.31667998807133635
IV-2a,5,Fusion,288,81.25,0.1875,0.12082234930386634,0.6647046747277454,0.3192754085766482
IV-2a,6,S,288,71.52777777777779,0.2847222222222222,0.10880421026131376,0.8284600957212113,0.42778630226960845
IV-2a,6,M,288,72.56944444444444,0.2743055555555556,0.1805675074399799,0.9541389943487262,0.46059369291083424
IV-2a,6,D,288,72.56944444444444,0.2743055555555556,0.18996668050585178,0.9749552983173805,0.47003549045471715
IV-2a,6,F,288,70.48611111111111,0.2951388888888889,0.19435453191926982,0.9733300113538892,0.4744324919382341
IV-2a,6,Fusion,288,73.61111111111111,0.2638888888888889,0.17333165587879829,0.932765278781563,0.4574130299214695
IV-2a,7,S,288,87.15277777777779,0.1284722222222222,0.05470520984343716,0.32256174590575,0.1680795440717548
IV-2a,7,M,288,93.75,0.0625,0.02352711539147568,0.24432290408670887,0.10383749413531869
IV-2a,7,D,288,94.09722222222221,0.059027777777777776,0.021961343271506062,0.2473916567828941,0.1060048865093828
IV-2a,7,F,288,93.75,0.0625,0.023849386886595533,0.24646733771386803,0.10901218388669359
IV-2a,7,Fusion,288,95.13888888888889,0.04861111111111111,0.025204932431235394,0.23926409159860473,0.10444853189084181
