dataset,parameter,exit,metric,n_subjects,spearman_rho,p_exact_two_sided,n_permutations,supportive_direction,p_holm_56
IV-2a,s(S),S,error_rate,9,0.292889593064503,0.4420194003527337,362880,positive,1.0
IV-2a,s(S),S,ece_15,9,-0.09999999999999998,0.8099812610229277,362880,positive,1.0
IV-2a,s(S),S,nll,9,0.5166666666666666,0.16180004409171075,362880,positive,1.0
IV-2a,s(S),S,brier_sum,9,0.5499999999999999,0.13277667548500882,362880,positive,1.0
IV-2a,s(M),M,error_rate,9,0.4666666666666665,0.21252204585537918,362880,positive,1.0
IV-2a,s(M),M,ece_15,9,0.48333333333333317,0.19379960317460318,362880,positive,1.0
IV-2a,s(M),M,nll,9,0.4666666666666665,0.21252204585537918,362880,positive,1.0
IV-2a,s(M),M,brier_sum,9,0.4666666666666665,0.21252204585537918,362880,positive,1.0
IV-2a,s(D),D,error_rate,9,0.4666666666666665,0.21252204585537918,362880,positive,1.0
IV-2a,s(D),D,ece_15,9,0.3499999999999999,0.3585813492063492,362880,positive,1.0
IV-2a,s(D),D,nll,9,0.4666666666666665,0.21252204585537918,362880,positive,1.0
IV-2a,s(D),D,brier_sum,9,0.4666666666666665,0.21252204585537918,362880,positive,1.0
IV-2a,w(S),S,error_rate,9,-0.44351852664053315,0.23369708994708996,362880,negative,1.0
IV-2a,w(S),S,ece_15,9,-0.3333333333333333,0.3853229717813051,362880,negative,1.0
IV-2a,w(S),S,nll,9,-0.5999999999999999,0.09679783950617284,362880,negative,1.0
IV-2a,w(S),S,brier_sum,9,-0.6333333333333332,0.07603615520282186,362880,negative,1.0
IV-2a,w(M),M,error_rate,9,-0.4666666666666665,0.21252204585537918,362880,negative,1.0
IV-2a,w(M),M,ece_15,9,-0.5166666666666665,0.16180004409171075,362880,negative,1.0
IV-2a,w(M),M,nll,9,-0.4666666666666665,0.21252204585537918,362880,negative,1.0
IV-2a,w(M),M,brier_sum,9,-0.4666666666666665,0.21252204585537918,362880,negative,1.0
IV-2a,w(D),D,error_rate,9,-0.3666666666666666,0.33625992063492066,362880,negative,1.0
IV-2a,w(D),D,ece_15,9,-0.2333333333333333,0.5517085537918871,362880,negative,1.0
IV-2a,w(D),D,nll,9,-0.3666666666666666,0.33625992063492066,362880,negative,1.0
IV-2a,w(D),D,brier_sum,9,-0.3666666666666666,0.33625992063492066,362880,negative,1.0
IV-2a,w(F),F,error_rate,9,0.44351852664053315,0.2339616402116402,362880,negative,1.0
IV-2a,w(F),F,ece_15,9,0.49999999999999983,0.17766203703703703,362880,negative,1.0
IV-2a,w(F),F,nll,9,0.4666666666666665,0.21252204585537918,362880,negative,1.0
IV-2a,w(F),F,brier_sum,9,0.4666666666666665,0.21252204585537918,362880,negative,1.0
IV-2b,s(S),S,error_rate,9,0.4333333333333333,0.24991732804232805,362880,positive,1.0
IV-2b,s(S),S,ece_15,9,0.2666666666666667,0.4933311287477954,362880,positive,1.0
IV-2b,s(S),S,nll,9,0.4333333333333333,0.24991732804232805,362880,positive,1.0
IV-2b,s(S),S,brier_sum,9,0.4333333333333333,0.24991732804232805,362880,positive,1.0
IV-2b,s(M),M,error_rate,9,0.12552411131335844,0.7505731922398589,362880,positive,1.0
IV-2b,s(M),M,ece_15,9,-0.3499999999999999,0.3585813492063492,362880,positive,1.0
IV-2b,s(M),M,nll,9,0.13333333333333328,0.7435405643738977,362880,positive,1.0
IV-2b,s(M),M,brier_sum,9,0.13333333333333328,0.7435405643738977,362880,positive,1.0
IV-2b,s(D),D,error_rate,9,0.24999999999999992,0.5206349206349207,362880,positive,1.0
IV-2b,s(D),D,ece_15,9,0.03333333333333334,0.9483906525573192,362880,positive,1.0
IV-2b,s(D),D,nll,9,0.24999999999999992,0.5206349206349207,362880,positive,1.0
IV-2b,s(D),D,brier_sum,9,0.24999999999999992,0.5206349206349207,362880,positive,1.0
IV-2b,w(S),S,error_rate,9,-0.6666666666666666,0.05888999118165785,362880,negative,1.0
IV-2b,w(S),S,ece_15,9,-0.39999999999999997,0.2911926807760141,362880,negative,1.0
IV-2b,w(S),S,nll,9,-0.6666666666666666,0.05888999118165785,362880,negative,1.0
IV-2b,w(S),S,brier_sum,9,-0.6666666666666666,0.05888999118165785,362880,negative,1.0
IV-2b,w(M),M,error_rate,9,-0.12552411131335844,0.7505731922398589,362880,negative,1.0
IV-2b,w(M),M,ece_15,9,0.3499999999999999,0.3585813492063492,362880,negative,1.0
IV-2b,w(M),M,nll,9,-0.13333333333333328,0.7435405643738977,362880,negative,1.0
IV-2b,w(M),M,brier_sum,9,-0.13333333333333328,0.7435405643738977,362880,negative,1.0
IV-2b,w(D),D,error_rate,9,-0.24999999999999992,0.5206349206349207,362880,negative,1.0
IV-2b,w(D),D,ece_15,9,-0.03333333333333334,0.9483906525573192,362880,negative,1.0
IV-2b,w(D),D,nll,9,-0.24999999999999992,0.5206349206349207,362880,negative,1.0
IV-2b,w(D),D,brier_sum,9,-0.24999999999999992,0.5206349206349207,362880,negative,1.0
IV-2b,w(F),F,error_rate,9,0.24999999999999992,0.5206349206349207,362880,negative,1.0
IV-2b,w(F),F,ece_15,9,-0.09999999999999998,0.8099812610229277,362880,negative,1.0
IV-2b,w(F),F,nll,9,0.24999999999999992,0.5206349206349207,362880,negative,1.0
IV-2b,w(F),F,brier_sum,9,0.24999999999999992,0.5206349206349207,362880,negative,1.0
