dataset,subject,accuracy_pct,archived_rounded_accuracy_pct,checkpoint_hash_unchanged,exit_weights_match_log,probability_and_metric_checks
bcic2a,1,93.05555555555556,93.06,True,True,passed
bcic2a,2,70.13888888888889,70.14,True,True,passed
bcic2a,3,97.56944444444444,97.57000000000001,True,True,passed
bcic2a,4,89.23611111111111,89.24,True,True,passed
bcic2a,5,81.25,81.25,True,True,passed
bcic2a,6,73.61111111111111,73.61,True,True,passed
bcic2a,7,95.13888888888889,95.14,True,True,passed
bcic2a,8,92.01388888888889,92.01,True,True,passed
bcic2a,9,91.31944444444444,91.32000000000001,True,True,passed
bcic2b,1,82.1875,82.19,True,True,passed
bcic2b,2,74.28571428571429,74.29,True,True,passed
bcic2b,3,86.5625,86.56,True,True,passed
bcic2b,4,99.0625,99.06,True,True,passed
bcic2b,5,99.375,99.37,True,True,passed
bcic2b,6,90.625,90.62,True,True,passed
bcic2b,7,93.125,93.12,True,True,passed
bcic2b,8,94.6875,94.69,True,True,passed
bcic2b,9,90.0,90.0,True,True,passed
